productId,modelId,displayName,category,sport,price,salePrice,salePercentage,isFlash,onlineFrom,rating,ratingCount,link,mainImage,secondImage
FY7756,KYQ84,Forum Low Shoes,shoes,Lifestyle,100,100,0%,False,2021-05-13T00:00:00.000Z,4.719,306,https://www.adidas.com/us/forum-low-shoes/FY7756.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9775786cd7b446af9ddcac5e004a275e_9366/forum-low-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ff82213b88c74ac5a0cbac5e004bd8e3_9366/forum-low-shoes.jpg"
HQ6343,LPZ47,Ultraboost Light Running Shoes,shoes,Training,190,190,0%,False,2023-04-01T00:00:00.000Z,,-99,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6343.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e6bb368acde2441c8401af9c0134c37f_9366/ultraboost-light-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d2997b583a5c4825a8fdaf9c01348076_9366/ultraboost-light-running-shoes.jpg"
HQ6174,LIU33,Ultraboost 1.0,shoes,Lifestyle,200,200,0%,False,2023-01-16T00:00:00.000Z,4.5626,48,https://www.adidas.com/us/ultraboost-1.0/HQ6174.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/03eb1c5e6bba4a6eadcdaf3c0081d4d9_9366/ultraboost-1.0.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/533a8a0207064a358976af4000e7d9ec_9366/ultraboost-1.0.jpg"
IE7352,GSZ50,OZWEEGO Shoes,shoes,Lifestyle,120,120,0%,False,2023-04-14T00:00:00.000Z,4.7524,1704,https://www.adidas.com/us/ozweego-shoes/IE7352.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/58e62ec6fa8445f0be66afb60146b9c0_9366/ozweego-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/233e3f89fcb9416c8107afb6011348eb_9366/ozweego-shoes.jpg"
HR0081,MCX44,Ultraboost 1.0 Shoes,shoes,Lifestyle,200,200,0%,False,2023-05-03T00:00:00.000Z,,-99,https://www.adidas.com/us/ultraboost-1.0-shoes/HR0081.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/3545618d2e4b4e2cb157af450158c37f_9366/ultraboost-1.0-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/871bf79b1b8d41bfa068af4600618d71_9366/ultraboost-1.0-shoes.jpg"
HQ6709,LWS78,The Velosamba Vegan Cycling Shoes,shoes,Cycling,130,130,0%,False,2023-03-02T00:00:00.000Z,4.6555,119,https://www.adidas.com/us/the-velosamba-vegan-cycling-shoes/HQ6709.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b7641068b9024e10a2baaf1e01154a46_9366/the-velosamba-vegan-cycling-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/462a2945de4f4b469681af1e00f6c0c9_9366/the-velosamba-vegan-cycling-shoes.jpg"
ID4211,LZV46,Y-3 Ajatu Court Low,shoes,Lifestyle,300,300,0%,False,2023-04-19T00:00:00.000Z,,-99,https://www.adidas.com/us/y-3-ajatu-court-low/ID4211.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/bee33e9d001e444895d3af4e01895062_9366/y-3-ajatu-court-low.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e5e265d7a2804369baf8af4e0188f5ab_9366/y-3-ajatu-court-low.jpg"
HQ4446,LZV72,NMD_V3 Shoes,shoes,Lifestyle,170,136,20%,False,2022-12-21T00:00:00.000Z,,-99,https://www.adidas.com/us/nmd_v3-shoes/HQ4446.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7ceb76c2e97142239de2af4101078768_9366/nmd_v3-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7968af54d8ec43a3b28baf4101705d61_9366/nmd_v3-shoes.jpg"
F35539,DBF11,Adilette Aqua Slides,shoes,Lifestyle,28,28,0%,False,2021-05-28T00:00:00.000Z,4.5069,7722,https://www.adidas.com/us/adilette-aqua-slides/F35539.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d7afacfecb704dedb8c0a9b4016620cc_9366/adilette-aqua-slides.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c4f4d7f04813447185cfa9b4016597c0_9366/adilette-aqua-slides.jpg"
IE1685,LYU12,Rivalry Low TR Shoes,shoes,Lifestyle,110,110,0%,False,2023-02-17T00:00:00.000Z,,-99,https://www.adidas.com/us/rivalry-low-tr-shoes/IE1685.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b5e7919af9944f6db591af410165ebe6_9366/rivalry-low-tr-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/6aaa842dc07b40bfacd3af4101640116_9366/rivalry-low-tr-shoes.jpg"
